,weather,pivot,candidates
57,cold,"Dublin, Ireland","Glasgow, Scotland; Manchester, England; Edinburgh, Scotland; Belfast, Northern Ireland; Cork, Ireland; Galway, Ireland; York, England; Cambridge, England; Salisbury, England; Bath, England; Brighton, England; Cardiff, Wales; Leeds, England; Oxford, England; Birmingham, England; Portsmouth, England; Inverness, Scotland; Newcastle, England; Swansea, Wales; Exeter, England"
58,cold,"Bergen, Norway","Edinburgh, Scotland; Portland, Oregon, USA; Reykjavik, Iceland; Vancouver, Canada; Stockholm, Sweden; Helsinki, Finland; Cork, Ireland; Amsterdam, Netherlands; Copenhagen, Denmark; Oslo, Norway; Trondheim, Norway; Glasgow, Scotland; Gothenburg, Sweden; Aberdeen, Scotland; Galway, Ireland; Dundee, Scotland; Hamburg, Germany; Brussels, Belgium; Krakow, Poland; Tallinn, Estonia"
59,cold,"Oslo, Norway","Stockholm, Sweden; Copenhagen, Denmark; Helsinki, Finland; Bergen, Norway; Reykjavik, Iceland; Tallinn, Estonia; Vladivostok, Russia; Murmansk, Russia; Riga, Latvia; Aberdeen, Scotland; Manchester, England; Dublin, Ireland; Glasgow, Scotland; Gothenburg, Sweden; Edinburgh, Scotland; York, England; Trondheim, Norway; St; Petersburg, Russia; Warsaw, Poland; Hamburg, Germany"
60,cold,"Suwałki, Poland","Lviv, Ukraine; Kaunas, Lithuania; Gdansk, Poland; Vilnius, Lithuania; Tallinn, Estonia; Minsk, Belarus; Riga, Latvia; Kiev, Ukraine; Kaliningrad, Russia; Tbilisi, Georgia; Odessa, Ukraine; Yerevan, Armenia; Astana, Kazakhstan; Krakow, Poland; Baku, Azerbaijan; Saratov, Russia; Bratislava, Slovakia; Prague, Czech Republic; St; Petersburg, Russia; Warsaw, Poland"
61,cold,"Moscow, Russia","St; Petersburg, Russia; Zurich, Switzerland; Helsinki, Finland; Stockholm, Sweden; Copenhagen, Denmark; Vienna, Austria; Berlin, Germany; Kiev, Ukraine; Prague, Czech Republic; Riga, Latvia; Vilnius, Lithuania; Tallinn, Estonia; Minsk, Belarus; Warsaw, Poland; Irkutsk, Russia; Novosibirsk, Russia; Omsk, Russia; Samara, Russia; Saratov, Russia; Tomsk, Russia"
62,cold,"Murmansk, Russia","Saint Petersburg, Russia; Vladivostok, Russia; Yakutsk, Russia; Petropavlovsk-Kamchatsky, Russia; Magadan, Russia; Norilsk, Russia; Tromso, Norway; Rovaniemi, Finland; Anchorage, Alaska, USA; Reykjavik, Iceland; Bergen, Norway; Oslo, Norway; Helsinki, Finland; Stockholm, Sweden; Trondheim, Norway; Murmansk, Russia; Umea, Sweden; Oulu, Finland; Tromso, Norway; Aberdeen, Scotland, UK"
63,cold,"Saint Petersburg, Russia","Helsinki, Finland; Moscow, Russia; Tallinn, Estonia; Riga, Latvia; Vilnius, Lithuania; Stockholm, Sweden; Tartu, Estonia; Novgorod, Russia; Omsk, Russia; Arkhangelsk, Russia; Kaliningrad, Russia; Vyborg, Russia; Murmansk, Russia; Berlin, Germany; Hamburg, Germany; Copenhagen, Denmark; Oslo, Norway; Amsterdam, Netherlands; Warsaw, Poland; Prague, Czech Republic"
64,cold,"Zürich, Switzerland","Vienna, Austria ; Munich, Germany ; Geneva, Switzerland ; Innsbruck, Austria ; Interlaken, Switzerland ; Frankfurt, Germany ; Stuttgart, Germany ; Salzburg, Austria ; Lucerne, Switzerland ; Basel, Switzerland ; Bern, Switzerland ; Heidelberg, Germany ; Graz, Austria ; Strasbourg, France ; Bregenz, Austria ; Liechtenstein, Liechtenstein ; Karlsruhe, Germany; Koblenz, Germany ; Freiburg im Breisgau, Germany ; Lausanne, Switzerland"
65,cold,"Lviv, Ukraine","Tbilisi, Georgia; Vilnius, Lithuania; Warsaw, Poland; Bucharest, Romania; Kiev, Ukraine; Minsk, Belarus; Chisinau, Moldova; Yerevan, Armenia; Belgrade, Serbia; Sarajevo, Bosnia and Herzegovina; Istanbul, Turkey; Sofia, Bulgaria; Odessa, Ukraine; Riga, Latvia; Plovdiv, Bulgaria; Tallinn, Estonia; Krakow, Poland; Zagreb, Croatia; Bratislava, Slovakia; Skopje, Macedonia"
66,cold,"Lhasa, China","Kathmandu, Nepal; Leh, India; Shimla, India; Yushu, China; Ali, Tibet; Kargil, India; Tashkurgan, China; Gangtok, India; Gulmarg, India; Dharamsala, India; Manali, India; Nubra Valley, India; Khardung La, India; Darchula, Nepal; Phobjikha Valley, Bhutan; Dhankar, India; Likir, India; Tso Moriri, India; Pangong Tso, India; Kaza, India"
67,cold,"Ürümqi, China","Dushanbe, Tajikistan ; Ulaanbaatar, Mongolia ; Almaty, Kazakhstan ; Ürümqi, China ; Astana, Kazakhstan ; Islamabad, Pakistan ; Kabul, Afghanistan ; Tashkent, Uzbekistan ; Bishkek, Kyrgyzstan ; Ashgabat, Turkmenistan ; Yerevan, Armenia ; Yinchuan, China ; Lanzhou, China ; Zhoushan, China ; Kashgar, China ; Xining, China ; Hohhot, China ; Aksu, China ; Turpan, China"
68,cold,"Yinchuan, China","Kashgar, China; Urumqi, China; Lanzhou, China; Ordos, China; Xining, China; Lhasa, China; Baotou, China; Turpan, China; Hohhot, China; Dunhuang, China; Pyongyang, North Korea; Vladivostok, Russia; Irkutsk, Russia; Ulaanbaatar, Mongolia; Delhi, India; Islamabad, Pakistan; Astana, Kazakhstan; Baku, Azerbaijan; Tashkent, Uzbekistan; Dushanbe, Tajikistan"
69,cold,"Sapporo, Japan","Sendai, Japan; Tokyo, Japan; Hakodate, Japan; Chiang Mai, Thailand; Seoul, South Korea; Vladivostok, Russia; Kaohsiung, Taiwan; Dalian, China; Busan, South Korea; Qingdao, China; Osaka, Japan; Nagoya, Japan; Vladikavkaz, Russia; Ulan Bator, Mongolia; Harbin, China; Niigata, Japan; Chongqing, China; Changchun, China; Irkutsk, Russia; Ulaanbaatar, Mongolia"
70,cold,"Almaty, Kazakhstan","Tashkent, Uzbekistan; Bishkek, Kyrgyzstan; Ulaanbaatar, Mongolia; Dushanbe, Tajikistan; Ashgabat, Turkmenistan; Yerevan, Armenia; Dnipro, Ukraine; Sochi, Russia; Samarkand, Uzbekistan; Astana, Kazakhstan; Baku, Azerbaijan; Lviv, Ukraine; Minsk, Belarus; Tabriz, Iran; Omsk, Russia; Kazan, Russia; Ufa, Russia; Yekaterinburg, Russia; Tbilisi, Georgia; Volgograd, Russia"
71,cold,"Nur-Sultan, Kazakhstan","Ulan Bator, Mongolia; Beijing, China; Irkutsk, Russia; Vladivostok, Russia; Astana, Kazakhstan; Novosibirsk, Russia; Almaty, Kazakhstan; Ufa, Russia; Minsk, Belarus; Omsk, Russia; Tashkent, Uzbekistan; Bishkek, Kyrgyzstan; Khabarovsk, Russia; Yekaterinburg, Russia; Samara, Russia; Barnaul, Russia; Krasnoyarsk, Russia; Dushanbe, Tajikistan; Krasnodar, Russia; Tomsk, Russia"
72,cold,"Ulaanbaatar, Mongolia","Vladivostok, Russia; Harbin, China; Irkutsk, Russia; Novosibirsk, Russia; Blagoveshchensk, Russia; Yekaterinburg, Russia; Yakutsk, Russia; Beijing, China; Chita, Russia; Khabarovsk, Russia; Ulan-Ude, Russia; Astana, Kazakhstan; Shenyang, China; Tomsk, Russia; Omsk, Russia; Novokuznetsk, Russia; Krasnoyarsk, Russia; Kemerovo, Russia; Magadan, Russia; Tashkent, Uzbekistan"
73,cold,"Irkutsk, Russia","Chita, Russia; Yakutsk, Russia; Novosibirsk, Russia; Seoul, South Korea; Sapporo, Japan; Vladivostok, Russia; Osaka, Japan; Harbin, China; Ulan Bator, Mongolia; Hanoi, Vietnam; Khabarovsk, Russia; Astana, Kazakhstan; Busan, South Korea; Beijing, China; Shenyang, China; Dalian, China; Omsk, Russia; Tomsk, Russia; Pyongyang, North Korea; Ufa, Russia"
74,cold,"Novosibirsk, Russia","Ulaanbaatar, Mongolia; Irkutsk, Russia; Yekaterinburg, Russia; Vladivostok, Russia; Khabarovsk, Russia; Minsk, Belarus; Tashkent, Uzbekistan; Almaty, Kazakhstan; Astana, Kazakhstan; Bishkek, Kyrgyzstan; Omsk, Russia; Aktau, Kazakhstan; Krasnoyarsk, Russia; Chita, Russia; Ulan-Ude, Russia; Donetsk, Ukraine; Tbilisi, Georgia; Kiev, Ukraine; Riga, Latvia; Vilnius, Lithuania"
75,cold,"Vladivostok, Russia","Omsk, Russia; Irkutsk, Russia; Yakutsk, Russia; Magadan, Russia; Khabarovsk, Russia; Petropavlovsk-Kamchatsky, Russia; Yuzhno-Sakhalinsk, Russia; Harbin, China; Sapporo, Japan; Niigata, Japan; Sendai, Japan; Hiroshima, Japan; Osaka, Japan; Yokohama, Japan; Seoul, South Korea; Vladivostok, Russia; Ulan Bator, Mongolia; Seattle, USA; Portland, USA; Vancouver, Canada"
76,cold,"Yakutsk, Russia","Abakan, Russia; Norilsk, Russia; Ulan-Ude, Russia; Tomsk, Russia; Magadan, Russia; Fairbanks, Alaska, USA; Juneau, Alaska, USA; Yellowknife, Canada; Murmansk, Russia; Khatanga, Russia; Irkutsk, Russia; Umeå, Sweden; Longyearbyen, Norway; Rovaniemi, Finland; Nuuk, Greenland; Iqaluit, Canada; Chita, Russia; Krasnoyarsk, Russia; Murmansk, Russia; Yakutsk, Russia"
77,cold,"Erzurum, Turkey","Ulaanbaatar, Mongolia; Astana, Kazakhstan; Bishkek, Kyrgyzstan; Tashkent, Uzbekistan; Minsk, Belarus; Novosibirsk, Russia; Yerevan, Armenia; Almaty, Kazakhstan; Irkutsk, Russia; Omsk, Russia; Saratov, Russia; Sochi, Russia; Yekaterinburg, Russia; Khabarovsk, Russia; Samara, Russia; Ufa, Russia; Kazan, Russia; Ulan Ude, Russia; Chisinau, Moldova; Kiev, Ukraine"
